DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
Indian Bay Ecosystem Corporation,IBP1,Indian Bay Park 1,49.04176,-53.8849,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,13:11:00,,,,,,pH,,,5.55,None,,,,,,,,,,,,,,,
Indian Bay Ecosystem Corporation,IBP1,Indian Bay Park 1,49.04176,-53.8849,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,13:11:00,,,,,,Specific conductance,,,19.2,uS/cm,,,,,,,,,,,,,,,
Indian Bay Ecosystem Corporation,IBP1,Indian Bay Park 1,49.04176,-53.8849,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,13:11:00,,,,,,"Temperature, water",,,14.4,deg C,,,,,,,,,,,,,,,
Indian Bay Ecosystem Corporation,MPB1,Moccasin Pond Brook 1,49.12702,-54.04875,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2014-07-07,14:30:00,,,,,,Dissolved oxygen (DO),,,7.6,mg/l,,,,,,,"Sunny 34?C  Saw trout, Frogs and a duck",,,,,,,,
Indian Bay Ecosystem Corporation,MPB1,Moccasin Pond Brook 1,49.12702,-54.04875,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2014-07-07,14:30:00,,,,,,Dissolved oxygen saturation,,,94,%,,,,,,,"Sunny 34?C  Saw trout, Frogs and a duck",,,,,,,,
Indian Bay Ecosystem Corporation,MPB1,Moccasin Pond Brook 1,49.12702,-54.04875,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2014-07-07,14:30:00,,,,,,pH,,,7.18,None,,,,,,,"Sunny 34?C  Saw trout, Frogs and a duck",,,,,,,,
Indian Bay Ecosystem Corporation,MPB1,Moccasin Pond Brook 1,49.12702,-54.04875,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2014-07-07,14:30:00,,,,,,Salinity,,,0.01,ppt,,,,,,,"Sunny 34?C  Saw trout, Frogs and a duck",,,,,,,,
Indian Bay Ecosystem Corporation,MPB1,Moccasin Pond Brook 1,49.12702,-54.04875,UNKWN,,,,,River/Stream,Field Msr/Obs,Surface Water,2014-07-07,14:30:00,,,,,,"Temperature, air",,,34,deg C,,,,,,,"Sunny 34?C  Saw trout, Frogs and a duck",,,,,,,,
Indian Bay Ecosystem Corporation,MPB1,Moccasin Pond Brook 1,49.12702,-54.04875,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2014-07-07,14:30:00,,,,,,"Temperature, water",,,26.5,deg C,,,,,,,"Sunny 34?C  Saw trout, Frogs and a duck",,,,,,,,
Indian Bay Ecosystem Corporation,MPB1,Moccasin Pond Brook 1,49.12702,-54.04875,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2014-07-07,14:30:00,,,,,,Total dissolved solids,,,14.3,mg/l,,,,,,,"Sunny 34?C  Saw trout, Frogs and a duck",,,,,,,,
Indian Bay Ecosystem Corporation,MPB2,Moccasin Pond Brook 2,49.12155,-54.03919,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2014-07-10,11:45:00,,,,,,Dissolved oxygen (DO),,,8.1,mg/l,,,,,,,Sunny 27 ?C. Just past the dam. Saw  trout (6-8 inches) tadpoles,,,,,,,,
Indian Bay Ecosystem Corporation,MPB2,Moccasin Pond Brook 2,49.12155,-54.03919,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2014-07-10,11:45:00,,,,,,Dissolved oxygen saturation,,,95,%,,,,,,,Sunny 27 ?C. Just past the dam. Saw  trout (6-8 inches) tadpoles,,,,,,,,
Indian Bay Ecosystem Corporation,MPB2,Moccasin Pond Brook 2,49.12155,-54.03919,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2014-07-10,11:45:00,,,,,,pH,,,6.13,None,,,,,,,Sunny 27 ?C. Just past the dam. Saw  trout (6-8 inches) tadpoles,,,,,,,,
Indian Bay Ecosystem Corporation,MPB2,Moccasin Pond Brook 2,49.12155,-54.03919,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2014-07-10,11:45:00,,,,,,Salinity,,,0.01,ppt,,,,,,,Sunny 27 ?C. Just past the dam. Saw  trout (6-8 inches) tadpoles,,,,,,,,
Indian Bay Ecosystem Corporation,MPB2,Moccasin Pond Brook 2,49.12155,-54.03919,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2014-07-10,11:45:00,,,,,,Specific conductance,,,21,uS/cm,,,,,,,Sunny 27 ?C. Just past the dam. Saw  trout (6-8 inches) tadpoles,,,,,,,,
Indian Bay Ecosystem Corporation,MPB2,Moccasin Pond Brook 2,49.12155,-54.03919,UNKWN,,,,,River/Stream,Field Msr/Obs,Surface Water,2014-07-10,11:45:00,,,,,,"Temperature, air",,,27,deg C,,,,,,,Sunny 27 ?C. Just past the dam. Saw  trout (6-8 inches) tadpoles,,,,,,,,
Indian Bay Ecosystem Corporation,MPB2,Moccasin Pond Brook 2,49.12155,-54.03919,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2014-07-10,11:45:00,,,,,,"Temperature, water",,,23.5,deg C,,,,,,,Sunny 27 ?C. Just past the dam. Saw  trout (6-8 inches) tadpoles,,,,,,,,
Indian Bay Ecosystem Corporation,MPB2,Moccasin Pond Brook 2,49.12155,-54.03919,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2014-07-10,11:45:00,,,,,,Total dissolved solids,,,13.65,mg/l,,,,,,,Sunny 27 ?C. Just past the dam. Saw  trout (6-8 inches) tadpoles,,,,,,,,
Indian Bay Ecosystem Corporation,IBR3,Indian Bay River 3,49.03991,-53.88077,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2014-07-18,14:00:00,,,,,,Dissolved oxygen (DO),,,8.6,mg/l,,,,,,,,,,,,,,,
Indian Bay Ecosystem Corporation,IBR3,Indian Bay River 3,49.03991,-53.88077,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2014-07-18,14:00:00,,,,,,Dissolved oxygen saturation,,,90,%,,,,,,,,,,,,,,,
Indian Bay Ecosystem Corporation,IBR3,Indian Bay River 3,49.03991,-53.88077,UNKWN,,,,,River/Stream,Field Msr/Obs,Surface Water,2014-07-18,14:00:00,,,,,,Nitrate,,Unfiltered,5,ppm,,,,,,,,,,Lamotte tablet,,,,,
